"","occurrenceId","verbatimScientificName_.GRA.","scientificName","key","matchType","confidence","status","rank","kingdom","phylum","class","order","family","genus","species_.GBIF.","canonicalName","authorship","usageKey","acceptedUsageKey"
"4059",NA,"Eutropis bontocensis","Eutropis bontocensis (Taylor, 1923)",2460861,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis bontocensis","Eutropis bontocensis","(Taylor, 1923) ",2460861,2460861
"4060",NA,"Eutropis carinata","Eutropis carinata (Schneider, 1801)",2460829,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis carinata","Eutropis carinata","(Schneider, 1801) ",2460829,2460829
"4061",NA,"Eutropis chapaensis","Eutropis chapaensis (Bourret, 1937)",8177768,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis chapaensis","Eutropis chapaensis","(Bourret, 1937) ",8177768,8177768
"4062",NA,"Eutropis clivicola","Eutropis clivicola (Inger, Shaffer, Koshy & Bakde, 1984)",2460841,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis clivicola","Eutropis clivicola","(Inger, Shaffer, Koshy & Bakde, 1984) ",2460841,2460841
"4063",NA,"Eutropis cumingi","Eutropis cumingi (Brown & Alcala, 1980)",2460925,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis cumingi","Eutropis cumingi","(Brown & Alcala, 1980) ",2460925,2460925
"4064",NA,"Eutropis darevskii","Eutropis darevskii (Bobrov, 1992)",2460884,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis darevskii","Eutropis darevskii","(Bobrov, 1992) ",2460884,2460884
"4065",NA,"Eutropis dissimilis","Eutropis dissimilis (Hallowell, 1857)",8236439,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis dissimilis","Eutropis dissimilis","(Hallowell, 1857) ",8236439,8236439
"4066",NA,"Eutropis englei","Eutropis englei (Taylor, 1925)",2460897,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis englei","Eutropis englei","(Taylor, 1925) ",2460897,2460897
"4067",NA,"Eutropis floweri","Eutropis floweri (Taylor, 1950)",7679665,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis floweri","Eutropis floweri","(Taylor, 1950) ",7679665,7679665
"4068",NA,"Eutropis gansi","Eutropis gansi Das, 1991",2460923,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis gansi","Eutropis gansi","Das, 1991",2460923,2460923
"4069",NA,"Eutropis greeri","Eutropis greeri Batuwita, 2016",11216551,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis greeri","Eutropis greeri","Batuwita, 2016",11216551,11216551
"4070",NA,"Eutropis indeprensa","Eutropis indeprensa (Brown & Alcala, 1980)",2460921,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis indeprensa","Eutropis indeprensa","(Brown & Alcala, 1980) ",2460921,2460921
"4071",NA,"Eutropis innotata","Eutropis innotata (Blanford, 1870)",2460856,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis innotata","Eutropis innotata","(Blanford, 1870) ",2460856,2460856
"4072",NA,"Eutropis longicaudata","Eutropis longicaudata (Hallowell, 1857)",9607631,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis longicaudata","Eutropis longicaudata","(Hallowell, 1857) ",9607631,9607631
"4073",NA,"Eutropis macrophthalma","Eutropis macrophthalma (Mausfeld & Böhme, 2002)",7509424,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis macrophthalma","Eutropis macrophthalma","(Mausfeld & Böhme, 2002) ",7509424,7509424
"4074",NA,"Eutropis macularia","Eutropis macularia (Blyth, 1853)",2460871,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis macularia","Eutropis macularia","(Blyth, 1853) ",2460871,2460871
"4075",NA,"Eutropis madaraszi","Eutropis madaraszi (Méhely, 1897)",8083725,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis madaraszi","Eutropis madaraszi","(Méhely, 1897) ",8083725,8083725
"4076",NA,"Eutropis multicarinata","Eutropis multicarinata (Gray, 1845)",2460843,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis multicarinata","Eutropis multicarinata","(Gray, 1845) ",2460843,2460843
"4077",NA,"Eutropis multifasciata","Eutropis multifasciata (Kuhl, 1820)",2460886,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis multifasciata","Eutropis multifasciata","(Kuhl, 1820) ",2460886,2460886
"4078",NA,"Eutropis nagarjunensis","Eutropis nagarjunensis (Sharma, 1969)",9117742,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis nagarjunensis","Eutropis nagarjunensis","(Sharma, 1969) ",9117742,9117742
"4079",NA,"Eutropis novemcarinata","Eutropis novemcarinata (Anderson, 1871)",11308314,"EXACT",100,"SYNONYM","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Toenayar","Toenayar novemcarinata","Eutropis novemcarinata","(Anderson, 1871) ",11308314,11063820
"4080",NA,"Eutropis quadratilobus","Eutropis quadratilobus (Bauer & Günther, 1992)",2460904,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis quadratilobus","Eutropis quadratilobus","(Bauer & Günther, 1992) ",2460904,2460904
"4081",NA,"Eutropis quadricarinata","Eutropis quadricarinata Boulenger, 1887",2460931,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis quadricarinata","Eutropis quadricarinata","Boulenger, 1887",2460931,2460931
"4082",NA,"Eutropis rudis","Eutropis rudis (Boulenger, 1887)",2460851,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis rudis","Eutropis rudis","(Boulenger, 1887) ",2460851,2460851
"4083",NA,"Eutropis rugifera","Eutropis rugifera (Stoliczka, 1870)",2460912,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis rugifera","Eutropis rugifera","(Stoliczka, 1870) ",2460912,2460912
"4084",NA,"Eutropis tammanna","Eutropis tammanna Das, De Silva & Austin, 2008",8261349,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis tammanna","Eutropis tammanna","Das, De Silva & Austin, 2008",8261349,8261349
"4085",NA,"Eutropis trivittata","Eutropis trivittata (Hardwicke & Gray, 1827)",7954654,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis trivittata","Eutropis trivittata","(Hardwicke & Gray, 1827) ",7954654,7954654
"4086",NA,"Eutropis tytleri","Eutropis tytleri (Theobald, 1868)",7990334,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis tytleri","Eutropis tytleri","(Theobald, 1868) ",7990334,7990334
"4087",NA,"Exallodontophis albignaci","Exallodontophis albignaci (Domergue, 1984)",2454801,"EXACT",100,"SYNONYM","SPECIES","Animalia","Chordata","Squamata",NA,"Pseudoxyrhophiidae","Elapotinus","Elapotinus picteti","Exallodontophis albignaci","(Domergue, 1984) ",2454801,2472682
"4088",NA,"Exila nigropalmata","Exila nigropalmata (Andersson, 1918)",7892245,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Exila","Exila nigropalmata","Exila nigropalmata","(Andersson, 1918) ",7892245,7892245
"4089",NA,"Exiliboa placata","Exiliboa placata Bogert, 1968",2450372,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Boidae","Exiliboa","Exiliboa placata","Exiliboa placata","Bogert, 1968",2450372,2450372
"4090",NA,"Farancia abacura","Farancia abacura (Holbrook, 1836)",2457738,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Colubridae","Farancia","Farancia abacura","Farancia abacura","(Holbrook, 1836) ",2457738,2457738
"4091",NA,"Farancia erytrogramma","Farancia erytrogramma (Palissot De Beauvois, 1802)",11255885,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Colubridae","Farancia","Farancia erytrogramma","Farancia erytrogramma","(Palissot De Beauvois, 1802) ",11255885,11255885
"4092",NA,"Feylinia boulengeri","Feylinia boulengeri Chabanaud, 1917",11329236,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Feylinia","Feylinia boulengeri","Feylinia boulengeri","Chabanaud, 1917",11329236,11329236
"4093",NA,"Feylinia currori","Feylinia currori Gray, 1845",2463885,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Feylinia","Feylinia currori","Feylinia currori","Gray, 1845",2463885,2463885
"4094",NA,"Feylinia elegans","Feylinia elegans (Hallowell, 1854)",2463882,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Feylinia","Feylinia elegans","Feylinia elegans","(Hallowell, 1854) ",2463882,2463882
