occurrenceId,verbatimScientificName_(GRA),scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species_(GBIF),canonicalName,authorship,usageKey,acceptedUsageKey
,Trioceros quadricornis,"Trioceros quadricornis (Tornier, 1899)",7830554,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros quadricornis,Trioceros quadricornis,"(Tornier, 1899) ",7830554,
,Trioceros rudis,"Trioceros rudis (Boulenger, 1906)",7438320,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros rudis,Trioceros rudis,"(Boulenger, 1906) ",7438320,
,Trioceros schoutedeni,"Trioceros schoutedeni (Laurent, 1952)",8149497,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros schoutedeni,Trioceros schoutedeni,"(Laurent, 1952) ",8149497,
,Trioceros schubotzi,"Trioceros schubotzi (Sternfeld, 1912)",7373270,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros schubotzi,Trioceros schubotzi,"(Sternfeld, 1912) ",7373270,
,Trioceros serratus,"Trioceros serratus (Mertens, 1922)",7685620,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros serratus,Trioceros serratus,"(Mertens, 1922) ",7685620,
,Trioceros sternfeldi,"Trioceros sternfeldi (Rand, 1963)",7819844,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros sternfeldi,Trioceros sternfeldi,"(Rand, 1963) ",7819844,
,Trioceros tempeli,"Trioceros tempeli (Tornier, 1899)",7982742,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros tempeli,Trioceros tempeli,"(Tornier, 1899) ",7982742,
,Trioceros werneri,"Trioceros werneri (Tornier, 1899)",7951322,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros werneri,Trioceros werneri,"(Tornier, 1899) ",7951322,
,Trioceros wiedersheimi,"Trioceros wiedersheimi (Nieden, 1910)",8000385,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros wiedersheimi,Trioceros wiedersheimi,"(Nieden, 1910) ",8000385,
,Trionyx triunguis,"Trionyx triunguis (Forskål, 1775)",5960976,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Testudines,,Trionychidae,Trionyx,Trionyx triunguis,Trionyx triunguis,"(Forskål, 1775) ",5960976,
,Trogonophis wiegmanni,"Trogonophis wiegmanni Kaup, 1830",2451019,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Trogonophidae,Trogonophis,Trogonophis wiegmanni,Trogonophis wiegmanni,"Kaup, 1830",2451019,
,Tropidechis carinatus,"Tropidechis carinatus (Krefft, 1863)",2449877,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Elapidae,Tropidechis,Tropidechis carinatus,Tropidechis carinatus,"(Krefft, 1863) ",2449877,
,Tropidoclonion lineatum,"Tropidoclonion lineatum (Hallowell, 1856)",2454441,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Tropidoclonion,Tropidoclonion lineatum,Tropidoclonion lineatum,"(Hallowell, 1856) ",2454441,
,Tropidodipsas annulifera,"Tropidodipsas annulifera Boulenger, 1894",2458273,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Tropidodipsas,Tropidodipsas annulifera,Tropidodipsas annulifera,"Boulenger, 1894",2458273,
