"","kingdom","phylum","class","order","family","genus","species","acceptedUsageKey","scientificName"
"48","Animalia","Chordata","Aves","Gruiformes","Rallidae","Crex","Crex crex",4408498,"Crex crex (Linnaeus, 1758)"
"49","Animalia","Chordata","Aves","Charadriiformes","Glareolidae","Cursorius","Cursorius cursor",2480740,"Cursorius cursor (Latham, 1787)"
"50","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus columbianus",2498338,"Cygnus bewickii Yarrell, 1830"
"51","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus cygnus",2498347,"Cygnus cygnus (Linnaeus, 1758)"
"52","Animalia","Chordata","Aves","Piciformes","Picidae","Dendrocopos","Dendrocopos leucotos",2477927,"Dendrocopos leucotos (Bechstein, 1802)"
"53","Animalia","Chordata","Aves","Piciformes","Picidae","Dendrocoptes","Dendrocoptes medius",8773033,"Dendrocopos medius (Linnaeus, 1758)"
"54","Animalia","Chordata","Aves","Piciformes","Picidae","Dendrocopos","Dendrocopos syriacus",2478031,"Dendrocopos syriacus (Hemprich & Ehrenberg, 1833)"
"55","Animalia","Chordata","Aves","Piciformes","Picidae","Dryocopus","Dryocopus martius",2477872,"Dryocopus martius (Linnaeus, 1758)"
"56","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta",2480876,"Egretta garzetta (Linnaeus, 1766)"
"57","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Elanus","Elanus caeruleus",2480372,"Elanus caeruleus (Desfontaines, 1789)"
"58","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza caesia",2491490,"Emberiza caesia Cretzschmar, 1827"
"59","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza cineracea",2491469,"Emberiza cineracea C.L.Brehm, 1855"
"60","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza hortulana",2491482,"Emberiza hortulana Linnaeus, 1758"
"61","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco biarmicus",8014966,"Falco biarmicus Temminck, 1825"
"62","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco cherrug",2481034,"Falco cherrug J.E.Gray, 1834"
"63","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco columbarius",9813242,"Falco columbarius Linnaeus, 1758"
"64","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco eleonorae",2481037,"Falco eleonorae Géné, 1839"
"65","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco naumanni",9584698,"Falco naumanni J.G.Fleischer, 1818"
"66","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco peregrinus",2481047,"Falco peregrinus Tunstall, 1771"
"67","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco rusticolus",8069880,"Falco rusticolus Linnaeus, 1758"
"68","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco vespertinus",2481062,"Falco vespertinus Linnaeus, 1766"
"69","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula albicollis",2492601,"Ficedula albicollis (Temminck, 1815)"
"70","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula parva",2492605,"Ficedula parva (Bechstein, 1792)"
"71","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula semitorquata",2492608,"Ficedula semitorquata (Homeyer, 1885)"
"72","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica cristata",2474381,"Fulica cristata Gmelin, 1789"
"73","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Galerida","Galerida theklae",9330514,"Galerida theklae A.E.Brehm, 1857"
"74","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Gallinago","Gallinago media",2481831,"Gallinago media (Latham, 1787)"
"75","Animalia","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia arctica",2481959,"Gavia arctica (Linnaeus, 1758)"
"76","Animalia","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia immer",2481962,"Gavia immer (Brunnich, 1764)"
"77","Animalia","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia stellata",2481958,"Gavia stellata (Pontoppidan, 1763)"
"78","Animalia","Chordata","Aves","Charadriiformes","Glareolidae","Glareola","Glareola pratincola",2480757,"Glareola pratincola (Linnaeus, 1766)"
"79","Animalia","Chordata","Aves","Strigiformes","Strigidae","Glaucidium","Glaucidium passerinum",5232162,"Glaucidium passerinum (Linnaeus, 1758)"
"80","Animalia","Chordata","Aves","Gruiformes","Gruidae","Grus","Grus grus",2474950,"Grus grus (Linnaeus, 1758)"
"81","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Gypaetus","Gypaetus barbatus",2480649,"Gypaetus barbatus (Linnaeus, 1758)"
"82","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Gyps","Gyps fulvus",2480389,"Gyps fulvus (Hablizl, 1783)"
"83","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Haliaeetus","Haliaeetus albicilla",2480449,"Haliaeetus albicilla (Linnaeus, 1758)"
"84","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila fasciata",5844449,"Hieraaetus fasciatus (Vieillot, 1822)"
"85","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Hieraaetus","Hieraaetus pennatus",2480685,"Hieraaetus pennatus (Gmelin, 1788)"
"86","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",5229126,"Himantopus himantopus (Linnaeus, 1758)"
"87","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Hippolais","Hippolais olivetorum",2493219,"Hippolais olivetorum (Strickland, 1837)"
"88","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Vanellus","Vanellus spinosus",5229142,"Hoplopterus spinosus Linnaeus, 1758"
"89","Animalia","Chordata","Aves","Procellariiformes","Hydrobatidae","Hydrobates","Hydrobates pelagicus",4408455,"Hydrobates pelagicus (Linnaeus, 1758)"
"90","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ixobrychus","Ixobrychus minutus",2480850,"Ixobrychus minutus (Linnaeus, 1766)"
"91","Animalia","Chordata","Aves","Passeriformes","Laniidae","Lanius","Lanius collurio",7745240,"Lanius collurio Linnaeus, 1758"
"92","Animalia","Chordata","Aves","Passeriformes","Laniidae","Lanius","Lanius minor",2492854,"Lanius minor Gmelin, 1788"
"93","Animalia","Chordata","Aves","Passeriformes","Laniidae","Lanius","Lanius nubicus",2492855,"Lanius nubicus Lichtenstein, 1823"
"94","Animalia","Chordata","Aves","Charadriiformes","Laridae","Ichthyaetus","Ichthyaetus audouinii",7406504,"Larus audouinii Payraudeau, 1826"
"95","Animalia","Chordata","Aves","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus genei",6065810,"Larus genei Brème, 1839"
"96","Animalia","Chordata","Aves","Charadriiformes","Laridae","Ichthyaetus","Ichthyaetus melanocephalus",8151548,"Larus melanocephalus Temminck, 1820"
"97","Animalia","Chordata","Aves","Charadriiformes","Laridae","Hydrocoloeus","Hydrocoloeus minutus",6065841,"Larus minutus Pallas, 1776"
"98","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa","Limosa lapponica",2481681,"Limosa lapponica (Linnaeus, 1758)"
"99","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia","Loxia scotica",2494177,"Loxia scotica Hartert, 1904"
"100","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Lullula","Lullula arborea",2490604,"Lullula arborea (Linnaeus, 1758)"
"101","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia svecica",4408732,"Luscinia svecica (Linnaeus, 1758)"
"102","Animalia","Chordata","Aves","Anseriformes","Anatidae","Marmaronetta","Marmaronetta angustirostris",2498390,"Marmaronetta angustirostris (Ménétries, 1832)"
"103","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Melanocorypha","Melanocorypha calandra",2490613,"Melanocorypha calandra (Linnaeus, 1766)"
"104","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergellus","Mergellus albellus",2498285,"Mergus albellus albellus"
"105","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Milvus","Milvus migrans",5229167,"Milvus migrans (Boddaert, 1783)"
"106","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Milvus","Milvus milvus",5229168,"Milvus milvus (Linnaeus, 1758)"
"107","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Neophron","Neophron percnopterus",2480696,"Neophron percnopterus (Linnaeus, 1758)"
"108","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Numenius tenuirostris",2481789,"Numenius tenuirostris Vieillot, 1817"
"109","Animalia","Chordata","Aves","Strigiformes","Strigidae","Bubo","Bubo scandiacus",5959143,"Nyctea scandiaca (Linnaeus, 1758)"
"110","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Nycticorax","Nycticorax nycticorax",2480863,"Nycticorax nycticorax (Linnaeus, 1758)"
"111","Animalia","Chordata","Aves","Procellariiformes","Hydrobatidae","Oceanodroma","Oceanodroma castro",2482001,"Oceanodroma castro (Harcourt, 1851)"
"112","Animalia","Chordata","Aves","Procellariiformes","Hydrobatidae","Oceanodroma","Oceanodroma leucorhoa",2482012,"Oceanodroma leucorhoa (Vieillot, 1818)"
"113","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Oenanthe","Oenanthe cypriaca",5231234,"Oenanthe cypriaca (Homeyer, 1884)"
"114","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Oenanthe","Oenanthe leucura",5231236,"Oenanthe leucura (Gmelin, 1789)"
"115","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Oenanthe","Oenanthe pleschanka",5231233,"Oenanthe pleschanka (Lepechin, 1770)"
"116","Animalia","Chordata","Aves","Otidiformes","Otididae","Otis","Otis tarda",2474921,"Otis tarda Linnaeus, 1758"
"117","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura","Oxyura leucocephala",2498302,"Oxyura leucocephala (Scopoli, 1769)"
"118","Animalia","Chordata","Aves","Accipitriformes","Pandionidae","Pandion","Pandion haliaetus",2480726,"Pandion haliaetus (Linnaeus, 1758)"
"119","Animalia","Chordata","Aves","Procellariiformes","Hydrobatidae","Pelagodroma","Pelagodroma marina",2481991,"Pelagodroma marina (Latham, 1790)"
"120","Animalia","Chordata","Aves","Pelecaniformes","Pelecanidae","Pelecanus","Pelecanus crispus",2480353,"Pelecanus crispus Bruch, 1832"
"121","Animalia","Chordata","Aves","Pelecaniformes","Pelecanidae","Pelecanus","Pelecanus onocrotalus",2480350,"Pelecanus onocrotalus Linnaeus, 1758"
"122","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pernis","Pernis apivorus",2480420,"Pernis apivorus (Linnaeus, 1758)"
"123","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Microcarbo","Microcarbo pygmeus",6066518,"Phalacrocorax pygmeus (Pallas, 1773)"
"124","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Phalaropus","Phalaropus lobatus",5739290,"Phalaropus lobatus (Linnaeus, 1758)"
"125","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris pugnax",8250742,"Philomachus pugnax (Linnaeus, 1758)"
"126","Animalia","Chordata","Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus","Phoenicopterus ruber",9691034,"Phoenicopterus ruber Linnaeus, 1758"
"127","Animalia","Chordata","Aves","Piciformes","Picidae","Picoides","Picoides tridactylus",2477804,"Picoides tridactylus (Linnaeus, 1758)"
"128","Animalia","Chordata","Aves","Piciformes","Picidae","Picus","Picus canus",2478548,"Picus canus J.F.Gmelin, 1788"
"129","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Platalea","Platalea leucorodia",2480801,"Platalea leucorodia Linnaeus, 1758"
"130","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Plegadis","Plegadis falcinellus",2480773,"Plegadis falcinellus (Linnaeus, 1766)"
"131","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","Pluvialis apricaria",2480332,"Pluvialis apricaria (Linnaeus, 1758)"
"132","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps auritus",2482059,"Podiceps auritus (Linnaeus, 1758)"
"133","Animalia","Chordata","Aves","Anseriformes","Anatidae","Polysticta","Polysticta stelleri",5232431,"Polysticta stelleri (Pallas, 1769)"
"134","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porphyrio","Porphyrio porphyrio",2474416,"Porphyrio porphyrio (Linnaeus, 1758)"
"135","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana parva",2474627,"Porzana parva (Scopoli, 1769)"
"136","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana porzana",2474621,"Porzana porzana (Linnaeus, 1766)"
"137","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana pusilla",2474628,"Porzana pusilla (Pallas, 1776)"
"138","Animalia","Chordata","Aves","Pteroclidiformes","Pteroclididae","Pterocles","Pterocles alchata",2480204,"Pterocles alchata (Linnaeus, 1766)"
"139","Animalia","Chordata","Aves","Pteroclidiformes","Pteroclididae","Pterocles","Pterocles orientalis",2480193,"Pterocles orientalis (Linnaeus, 1758)"
"140","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","Pterodroma feae",2481473,"Pterodroma feae (Salvadori, 1900)"
"141","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","Pterodroma madeira",2481463,"Pterodroma madeira Mathews, 1934"
"142","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Puffinus assimilis",5739275,"Puffinus assimilis Gould, 1838"
"143","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Puffinus mauretanicus",5229360,"Puffinus puffinus mauretanicus Lowe, 1921"
"144","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Puffinus yelkouan",5229377,"Puffinus yelkouan (Acerbi, 1827)"
"145","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pyrrhocorax","Pyrrhocorax pyrrhocorax",2482552,"Pyrrhocorax pyrrhocorax (Linnaeus, 1758)"
"146","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra avosetta",2480259,"Recurvirostra avosetta Linnaeus, 1758"
"147","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta krueperi",2484880,"Sitta krueperi Pelzeln, 1863"
"148","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta whiteheadi",2484886,"Sitta whiteheadi Sharpe, 1884"
"149","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons",5789279,"Sterna albifrons Pallas, 1764"
"150","Animalia","Chordata","Aves","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia",2481236,"Sterna caspia Pallas, 1770"
"151","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna dougallii",5229249,"Sterna dougallii Montagu, 1813"
"152","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo",9367409,"Sterna hirundo Linnaeus, 1758"
"153","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna paradisaea",5229230,"Sterna paradisaea Pontoppidan, 1763"
"154","Animalia","Chordata","Aves","Charadriiformes","Laridae","Thalasseus","Thalasseus sandvicensis",2481240,"Sterna sandvicensis Latham, 1787"
"155","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix nebulosa",2497522,"Strix nebulosa J.R.Forster, 1772"
"156","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix uralensis",2497509,"Strix uralensis Pallas, 1771"
"157","Animalia","Chordata","Aves","Strigiformes","Strigidae","Surnia","Surnia ulula",2497894,"Surnia ulula (Linnaeus, 1758)"
"158","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia melanothorax",2492953,"Sylvia melanothorax Tristram, 1872"
"159","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia nisoria",2492955,"Sylvia nisoria (Bechstein, 1792)"
"160","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia ruppeli",6100917,"Sylvia rueppelli Temminck, 1823"
"161","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia sarda",2492965,"Sylvia sarda Temminck, 1820"
"162","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia undata",2492949,"Sylvia undata (Boddaert, 1783)"
"163","Animalia","Chordata","Aves","Anseriformes","Anatidae","Tadorna","Tadorna ferruginea",2498015,"Tadorna ferruginea (Pallas, 1764)"
"164","Animalia","Chordata","Aves","Galliformes","Phasianidae","Tetrao","Tetrao urogallus",2473577,"Tetrao urogallus Linnaeus, 1758"
"165","Animalia","Chordata","Aves","Otidiformes","Otididae","Tetrax","Tetrax tetrax",5228228,"Tetrax tetrax (Linnaeus, 1758)"
"166","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa glareola",2481713,"Tringa glareola Linnaeus, 1758"
"167","Animalia","Chordata","Aves","Charadriiformes","Turnicidae","Turnix","Turnix sylvaticus",2475001,"Turnix sylvaticus (Desfontaines, 1789)"
"168","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Xenus","Xenus cinereus",2481703,"Xenus cinereus (Güldenstädt, 1775)"
