"occurrenceId","verbatimScientificName","scientificName","key","matchType","confidence","status","rank","kingdom","phylum","class","order","family","genus","species","canonicalName","authorship","usageKey","acceptedUsageKey"
NA,"Eriocheir sinensis H.Milne Edwards, 1854","Eriocheir sinensis H.Milne Edwards, 1853",2225776,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Varunidae","Eriocheir","Eriocheir sinensis","Eriocheir sinensis","H.Milne Edwards, 1853",2225776,2225776
NA,"Faxonius limosus (Rafinesque, 1817)","Faxonius limosus (Rafinesque, 1817)",8909595,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Faxonius","Faxonius limosus","Faxonius limosus","(Rafinesque, 1817) ",8909595,8909595
NA,"Faxonius rusticus (Girard, 1852)","Faxonius rusticus (Girard, 1852)",8979506,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Faxonius","Faxonius rusticus","Faxonius rusticus","(Girard, 1852) ",8979506,8979506
NA,"Faxonius virilis (Hagen, 1870)","Faxonius virilis (Hagen, 1870)",8971201,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Faxonius","Faxonius virilis","Faxonius virilis","(Hagen, 1870) ",8971201,8971201
NA,"Fundulus heteroclitus (Linnaeus, 1766)","Fundulus heteroclitus (Linnaeus, 1766)",5712056,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus","Fundulus heteroclitus","(Linnaeus, 1766) ",5712056,5712056
NA,"Gambusia affinis (Baird & Girard, 1853)","Gambusia affinis (Baird & Girard, 1853)",2350580,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis","Gambusia affinis","(Baird & Girard, 1853) ",2350580,2350580
NA,"Gambusia holbrooki Girard, 1859","Gambusia holbrooki Girard, 1859",2350570,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki","Gambusia holbrooki","Girard, 1859",2350570,2350570
NA,"Gunnera tinctoria (Molina) Mirbel","Gunnera tinctoria (Molina) Mirb.",2984306,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gunnerales","Gunneraceae","Gunnera","Gunnera tinctoria","Gunnera tinctoria","(Molina) Mirb.",2984306,2984306
NA,"Gymnocoronis spilanthoides (D.Don ex Hook. & Arn.) DC.","Gymnocoronis spilanthoides DC.",6063677,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Gymnocoronis","Gymnocoronis spilanthoides","Gymnocoronis spilanthoides","DC.",6063677,6063677
NA,"Hakea sericea Schrad. & J.C.Wendl.","Hakea sericea Schrad. & J.C.Wendl.",7287606,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Proteales","Proteaceae","Hakea","Hakea sericea","Hakea sericea","Schrad. & J.C.Wendl.",7287606,7287606
NA,"Heracleum mantegazzianum Sommier & Levier","Heracleum mantegazzianum Sommier & Levier",3034825,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Heracleum","Heracleum mantegazzianum","Heracleum mantegazzianum","Sommier & Levier",3034825,3034825
NA,"Heracleum persicum Fischer","Heracleum persicum Desf.",8000520,"EXACT",100,"SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Heracleum","Heracleum persicum","Heracleum persicum","Desf. ex Fisch., C.A.Mey. & Avé-Lall.",8000520,3628745
NA,"Heracleum sosnowskyi Mandenova","Heracleum sosnowskyi Manden.",3642949,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Heracleum","Heracleum sosnowskyi","Heracleum sosnowskyi","Manden.",3642949,3642949
NA,"Humulus scandens (Lour) Merr.","Humulus scandens (Lour.) Merr.",2984537,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Cannabaceae","Humulus","Humulus scandens","Humulus scandens","(Lour.) Merr.",2984537,2984537
