"","specieskey","totalOcc","scientificName","kingdom","phylum","class","order","family"
"43",2480666,303979,"Circaetus gallicus (Gmelin, 1788)","Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"44",2480685,320092,"Hieraaetus pennatus (Gmelin, 1788)","Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"154",9813242,375746,"Falco columbarius Linnaeus, 1758","Animalia","Chordata","Aves","Falconiformes","Falconidae"
"55",2480910,380110,"Botaurus stellaris (Linnaeus, 1758)","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae"
"80",2482059,385047,"Podiceps auritus (Linnaeus, 1758)","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae"
"28",2480389,474928,"Gyps fulvus (Hablizl, 1783)","Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"128",5229126,477988,"Himantopus himantopus (Linnaeus, 1758)","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae"
"132",5229230,511999,"Sterna paradisaea Pontoppidan, 1763","Animalia","Chordata","Aves","Charadriiformes","Laridae"
"67",2481681,527320,"Limosa lapponica (Linnaeus, 1758)","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae"
"75",2481959,567502,"Gavia arctica (Linnaeus, 1758)","Animalia","Chordata","Aves","Gaviiformes","Gaviidae"
"74",2481958,574191,"Gavia stellata (Pontoppidan, 1763)","Animalia","Chordata","Aves","Gaviiformes","Gaviidae"
"29",2480420,580104,"Pernis apivorus (Linnaeus, 1758)","Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"86",2490604,704492,"Lullula arborea (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Alaudidae"
"46",2480726,792368,"Pandion haliaetus (Linnaeus, 1758)","Animalia","Chordata","Aves","Accipitriformes","Pandionidae"
"124",4408732,797626,"Luscinia svecica (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae"
"130",5229167,821396,"Milvus migrans (Boddaert, 1783)","Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"69",2481713,839065,"Tringa glareola Linnaeus, 1758","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae"
