"","occurrenceId","verbatimScientificName","scientificName","specieskey","matchType","confidence","status","rank","kingdom","phylum","class","order","family","genus","species","canonicalName","authorship","usageKey","acceptedUsageKey"
"11",NA,"Dendrocopos major thanneri","Dendrocopos major thanneri le Roi, 1911",6177279,"EXACT",98,"ACCEPTED","SUBSPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Dendrocopos","Dendrocopos major","Dendrocopos major thanneri","le Roi, 1911",6177279,NA
"12",NA,"Dendrocopos medius","Dendrocopos medius (Linnaeus, 1758)",2478026,"EXACT",98,"SYNONYM","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Dendrocoptes","Dendrocoptes medius","Dendrocopos medius","(Linnaeus, 1758) ",2478026,8773033
"13",NA,"Egretta alba (Ardea alba)","Egretta alba alba",7516119,"EXACT",98,"SYNONYM","SUBSPECIES","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea alba","Egretta alba alba","",7516119,7190969
"14",NA,"Fringilla coelebs ombriosa","Fringilla coelebs ombriosa Hartert, 1913",6175538,"EXACT",98,"ACCEPTED","SUBSPECIES","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Fringilla coelebs","Fringilla coelebs ombriosa","Hartert, 1913",6175538,NA
"15",NA,"Gelochelidon nilotica (Sterna nilotica)","Gelochelidon nilotica nilotica",7192423,"EXACT",98,"ACCEPTED","SUBSPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Gelochelidon","Gelochelidon nilotica","Gelochelidon nilotica nilotica","",7192423,NA
"16",NA,"Hieraaetus fasciatus","Hieraaetus fasciatus (Vieillot, 1822)",2480690,"EXACT",98,"SYNONYM","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila fasciata","Hieraaetus fasciatus","(Vieillot, 1822) ",2480690,5844449
"17",NA,"Hoplopterus spinosus","Hoplopterus spinosus Linnaeus, 1758",11380022,"EXACT",98,"SYNONYM","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Vanellus","Vanellus spinosus","Hoplopterus spinosus","Linnaeus, 1758",11380022,5229142
"18",NA,"Lagopus mutus helveticus","Lagopus mutus helveticus",11259389,"EXACT",98,"SYNONYM","SUBSPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Lagopus","Lagopus muta","Lagopus mutus helveticus","",11259389,5227692
"19",NA,"Lagopus mutus pyrenaicus","Lagopus mutus pyrenaicus Hartert, 1921",8872650,"EXACT",98,"SYNONYM","SUBSPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Lagopus","Lagopus muta","Lagopus mutus pyrenaicus","Hartert, 1921",8872650,5227710
"20",NA,"Larus audouinii","Larus audouinii Payraudeau, 1826",2481193,"EXACT",98,"SYNONYM","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Ichthyaetus","Ichthyaetus audouinii","Larus audouinii","Payraudeau, 1826",2481193,7406504
"21",NA,"Larus genei","Larus genei Brème, 1839",2481178,"EXACT",98,"SYNONYM","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus genei","Larus genei","Brème, 1839",2481178,6065810
"22",NA,"Larus melanocephalus","Larus melanocephalus Temminck, 1820",2481194,"EXACT",98,"SYNONYM","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Ichthyaetus","Ichthyaetus melanocephalus","Larus melanocephalus","Temminck, 1820",2481194,8151548
"23",NA,"Larus minutus","Larus minutus Pallas, 1776",2481143,"EXACT",98,"SYNONYM","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Hydrocoloeus","Hydrocoloeus minutus","Larus minutus","Pallas, 1776",2481143,6065841
"24",NA,"Mergus albellus (Mergellus albellus)","Mergus albellus albellus",11083071,"EXACT",98,"SYNONYM","SUBSPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergellus","Mergellus albellus","Mergus albellus albellus","Cramp & Simmons, 1977-1994",11083071,2498285
